total_consumption;date;hour
3.563;15.03.2022;6
3.593;15.03.2022;7
3.956;15.03.2022;8
3.51;15.03.2022;9
2.67;15.03.2022;10
2.252;15.03.2022;11
2.647;15.03.2022;12
3.423;15.03.2022;13
3.387;15.03.2022;14
2.655;15.03.2022;15
2.857;15.03.2022;16
3.357;15.03.2022;17
4.456;15.03.2022;18
5.961;15.03.2022;19
6.112;15.03.2022;20
5.927;15.03.2022;21
4.424;15.03.2022;22
2.651;15.03.2022;23
1.624;15.03.2022;24
79.751;15.03.2022;Kokku
1.936;16.03.2022;1
1.977;16.03.2022;2
1.814;16.03.2022;3
2.625;16.03.2022;4
2.104;16.03.2022;5
3.074;16.03.2022;6
4.071;16.03.2022;7
3.438;16.03.2022;8
2.761;16.03.2022;9
2.95;16.03.2022;10
2.088;16.03.2022;11
2.284;16.03.2022;12
2.553;16.03.2022;13
2.222;16.03.2022;14
2.536;16.03.2022;15
3.923;16.03.2022;16
4.684;16.03.2022;17
3.813;16.03.2022;18
3.905;16.03.2022;19
4.558;16.03.2022;20
4.989;16.03.2022;21
4.933;16.03.2022;22
2.378;16.03.2022;23
2.56;16.03.2022;24
74.176;16.03.2022;Kokku
2.205;17.03.2022;1
1.925;17.03.2022;2
1.763;17.03.2022;3
2.174;17.03.2022;4
2.446;17.03.2022;5
2.382;17.03.2022;6
3.369;17.03.2022;7
5.527;17.03.2022;8
3.831;17.03.2022;9
2.376;17.03.2022;10
2.267;17.03.2022;11
2.245;17.03.2022;12
2.99;17.03.2022;13
3.202;17.03.2022;14
2.552;17.03.2022;15
3.246;17.03.2022;16
4.93;17.03.2022;17
6.003;17.03.2022;18
6.589;17.03.2022;19
5.405;17.03.2022;20
5.304;17.03.2022;21
4.76;17.03.2022;22
3.379;17.03.2022;23
2.721;17.03.2022;24
83.591;17.03.2022;Kokku
2.037;18.03.2022;1
2.037;18.03.2022;2
2.528;18.03.2022;3
2.241;18.03.2022;4
2.377;18.03.2022;5
2.432;18.03.2022;6
3.634;18.03.2022;7
3.565;18.03.2022;8
4.713;18.03.2022;9
3.098;18.03.2022;10
2.564;18.03.2022;11
2.509;18.03.2022;12
2.78;18.03.2022;13
2.779;18.03.2022;14
4.637;18.03.2022;15
4.905;18.03.2022;16
4.508;18.03.2022;17
3.431;18.03.2022;18
4.672;18.03.2022;19
3.987;18.03.2022;20
5.05;18.03.2022;21
3.988;18.03.2022;22
4.242;18.03.2022;23
3.096;18.03.2022;24
81.81;18.03.2022;Kokku
2.224;19.03.2022;1
2.627;19.03.2022;2
2.665;19.03.2022;3
3.195;19.03.2022;4
2.745;19.03.2022;5
2.524;19.03.2022;6
3.427;19.03.2022;7
4.122;19.03.2022;8
3.714;19.03.2022;9
4.593;19.03.2022;10
2.855;19.03.2022;11
3.945;19.03.2022;12
6.694;19.03.2022;13
4.857;19.03.2022;14
4.307;19.03.2022;15
3.469;19.03.2022;16
2.938;19.03.2022;17
3.367;19.03.2022;18
3.579;19.03.2022;19
3.013;19.03.2022;20
3.412;19.03.2022;21
3.055;19.03.2022;22
2.71;19.03.2022;23
2.951;19.03.2022;24
82.988;19.03.2022;Kokku
2.114;20.03.2022;1
2.169;20.03.2022;2
2.103;20.03.2022;3
2.269;20.03.2022;4
2.185;20.03.2022;5
1.716;20.03.2022;6
